Element,Max Value,Min Value
Na,0.0,0.0
Mg,1.5834147731579327,0.0
Al,1.7879097272604747,0.0
Si,0.9999538799547744,0.0
P,0.3190755703501922,0.0
S,0.1382051157806529,0.0
K,0.13833330929939971,0.0
Ca,0.37291382897635555,0.0
Ti,0.2088200531180637,0.0
Cr,0.2147799629185489,0.0
Mn,0.2425128184608541,0.0
Fe,0.19686389675895719,0.0
